"location_name","city","reviewer_name","review_date","star_rating","review_text","owner_response","review_url"
"Los Tres Amigos Howell","Howell","Adrienne Saxton","2009-03-07","5","My parents live in Howell and I looooooove to eat here... but I live an hour away and I have searched and searched for places even 1/2 as good as Los Tres Amigos to no avail.  This place just can't be beat.  Even Mexican Town in Detroit is no match.  The lunch prices at Los Tres are especially good.  The fajittas are to die for.  You get free chips and salsa, food comes out fast and hot, and I've always had good service.  This place is honestly amazing.","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUN3NXVqdVdnEAE"
"Los Tres Amigos Lansing","Lansing","Dodge Howell","2009-07-21","5","I grew up in Texas, where my favorite food was Tex-Mex.  Although that's fairly stereotypical, I think it says a lot for my point of view.  Anyway, this is by far the best Tex-Mex I've had in a long, long time.  It's top notch, it's fairly quick, and reasonably priced.  I have been here twice; two weeks in a row.  I love it!  The hot sauce on the table is actually hot, the chips are great, the enchiladas are wonderful as is the fajita taco salad.  Great place!","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUNBeFpQWVRnEAE"
"Los Tres Amigos Howell","Howell","Josh Gearhart","2009-07-21","4","Los Tres has a great wait staff and tasty food.  If you want a pitcher of Dos Equis and some great mexican chow with some friends, this is the place.  I've eaten here about a dozen times and the only time service was slow I was with a rather large group.","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSURRbW9xV29nRRAB"
"Los Tres Amigos Holt","Holt","Troy Murray","2011-01-13","4","Service is very fast, food is good. Never been there for a game day, but they have many TV's. Monday nights they seem to be very busy, maybe a drink special?","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUN3N2VTRVlREAE"
"Los Tres Amigos Howell","Howell","Meghan Zoll","2011-01-17","4","","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUN3ak9YOERnEAE"
"Los Tres Amigos Lansing","Lansing","Alicia Curley","2011-03-25","3","","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSUNBNExEY3NnRRAB"
"Los Tres Amigos Canton","Canton","Chad Childers","2011-07-20","1","Bad lunch, I got a chile relleno with a taco, my wife had seafood fajitas.  My taco tasted like really bad quality canned meat, which the waitress was kind enough to take back and replace with a chicken taco, which was at least edible, though still not good.  My chile relleno was good, but my wife was too polite to say anything about her seafood, she mentioned to me in the restaurant that it was fake krab, which I thought was OK, but when she got in the car she said the shrimp tasted really bad and she felt sick after eating a little bit of it, even though she brought the rest home as leftovers.  We will not go back.","",""
"Los Tres Amigos Lansing","Lansing","Douglas Sharp","2011-08-09","5","","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSUNBMDlyTmlRRRAB"
"Los Tres Amigos Howell","Howell","Michael B (DethOriginal)","2011-11-12","2","","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSUN3N1BYM3pRRRAB"
"Los Tres Amigos Holt","Holt","Shannon Orlando","2011-11-15","1","I had been going here for years, and the service has always been poor, something my friends and I overlook because we enjoy the food so much. Our most recent experience left us all speechless. We were overcharged, and the manager and server were the most rude service people I've ever encountered; not just in a restaurant, but anywhere. From the minute we walked in, we were treated in a hostile way by the server, who couldn't understand anything we were saying. As a result of this, we received things that we didn't order, and didn't receive things we actually ordered. When I approached the manager, he said that ""there are other places I can go"". He had no interest in accommodating us, and frankly, I feel like he was making up policies on the spot. Worst restaurant experience of my life. Never go to a Los Tres if you can help it.","","https://search.google.com/local/reviews?placeid=ChRDSUhNMG9nS0VJQ0FnSUNndmI1QxAB"
"Los Tres Amigos Holt","Holt","G L","2011-11-18","1","","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUNBNElMeGJ3EAE"
"Los Tres Amigos Mason","Mason","Jon S","2011-12-23","5","","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSURBa3Y2ZnhnRRAB"
"Los Tres Amigos Howell","Howell","Pat Steele","2012-01-04","2","Food was over priced and very bland...won't be back","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSURnbnYzODlRRRAB"
"Los Tres Amigos Jackson","Jackson","Stephen Probst","2012-03-01","1","Coming from a mexican family that loves to cook, I hereby declare the food served here pure garbage. The only thing here worth consuming is their huge margarita, that is if your wallet and liver can handle 40 dollars worth of tequila. The service is fast enough to decide that everything is slopped on a plate out of a vat of pork grease.","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSUN3cHRmSzF3RRAB"
"Los Tres Amigos Jackson","Jackson","Anthony Beigay","2012-05-11","5","Guy at the hotel says he eats a couple of times per week.  Now i know why.","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUN3eGRLLUJREAE"
"Los Tres Amigos Jackson","Jackson","Jerry Stephens","2012-06-01","5","People will complain about anything...but this restaurant on West Ave has your food hit and on the table in less than 10 minutes without fail...not ""authentic"" Mexican food but most gringos wouldn't appreciate real Mexican food anyway.....delicious Mexican American food","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSUNRejRyQW1BRRAB"
"Los Tres Amigos Holt","Holt","Doug Morence","2012-06-08","3","","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSUN3dzd5aDlBRRAB"
"Los Tres Amigos Jackson","Jackson","Dale Nolan Jr.","2012-06-29","5","","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUNnMzhDS0h3EAE"
"Los Tres Amigos Howell","Howell","Jim Sinclair","2012-07-08","5","I absolutely love the chips and salsa here.  Excellent and fast service.  Go with the enchiladas suiza... you will not be disappointed!","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSURBMEt5MnBnRRAB"
"Los Tres Amigos Jackson","Jackson","Colleen Whitehead","2012-07-19","5","The food was great.  I had the chicken fajita , it was enough for 3 people's.   The only thing negative thing I can say is he didn't bring enough napkins..  had guacamole and it was fresh.","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUNndmYzUVJREAE"
"Los Tres Amigos Jackson","Jackson","David Whitehead","2012-07-19","4","Good food big beer..","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSURBdU9LblpBEAE"
"Los Tres Amigos Canton","Canton","Jeff Middleton","2012-07-26","5","Ive been going there every monday the past 10 months and every time the food is always delicious.  I highly reccomend the $.99 cent tacos they offer on mondays, theyre delicious","",""
"Los Tres Amigos Jackson","Jackson","Clayton Marriott","2012-08-26","5","We eat here all the time!
Constantly order food out for dinner.
Best Mexican restaurant in Michigan, bar none.","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSUNnMWZlTXp3RRAB"
